discovery keyword,channel name,URL,emails,total subs,AVG views,AVG engagement,date recorded,sampleSize
audio rig review,onelonedork,https://www.youtube.com/channel/UCaVDiV5PYcRQPLHY8BbI5Vg,testEmail,53611,1530.75,0.02701290217213784,2018-04-30 10:20:32.287832,21.0
audio rig review,Justin Brown - Primal Video,https://www.youtube.com/channel/UCO4Nw0vUpxgb0zsziJ1SaMg,testEmail,130410,5896.857142857143,0.05970169743366119,2018-04-30 10:20:35.407962,15.0
audio rig review,DigitalFoundry,https://www.youtube.com/channel/UC9PBzalIcEQCsiIkq36PyUA,testEmail,563433,104456.45,0.049943730012288426,2018-04-30 10:20:38.753231,21.0
audio rig review,Snazzy Labs,https://www.youtube.com/channel/UCO2x-p9gg9TLKneXlibGR7w,testEmail,415661,97982.91666666667,0.06528604050876216,2018-04-30 10:20:41.623923,13.0
best headphones for gaming,PAINFULLY HONEST TECH,https://www.youtube.com/channel/UCSqAtygCJCIdzWT6o7Ok87Q,testEmail,52135,35015.916666666664,0.04517945410539493,2018-04-30 10:20:45.361140,13.0
budget headphones,ProdiJay,https://www.youtube.com/channel/UCNIbOgt_M31rYzFX2BFDgqg,testEmail,6440,2959.3636363636365,0.07947040211347649,2018-04-30 10:20:50.999917,23.0
budget headphones,10BestOnes,https://www.youtube.com/channel/UCswqv-OXePrufGSxIbE9_Jg,testEmail,15019,5636.260869565217,0.03262790322030182,2018-04-30 10:20:55.674137,25.0
high end headphones,Moon-Audio.com,https://www.youtube.com/channel/UCLi4BqCho9hq_6UxjOEFDvw,testEmail,2490,735.0,0.01020408163265306,2018-04-30 10:20:58.194116,4.0
high end headphones,SIGNATURE AUDIO VIDEO,https://www.youtube.com/channel/UCAlXQj4tmSb5o-v6lKCWLnw,testEmail,26,1366.952380952381,0.0003831951508395457,2018-04-30 10:21:03.459213,22.0
skull candy review,TJ Tech,https://www.youtube.com/channel/UC5LXffzlfUq74xs19BRRyvw,testEmail,744,3530.0434782608695,0.014052768574513598,2018-04-30 10:21:09.289990,25.0
best wireless headphones,CNET,https://www.youtube.com/channel/UCOmcA3f_RrH6b9NmcNa4tdg,testEmail,1678017,13256.0,0.01693572721786361,2018-04-30 10:21:12.018916,9.0
best wireless headphones,RIZKNOWS,https://www.youtube.com/channel/UCAf9vHS_4I9lSu-7gYhkzaw,testEmail,330423,17849.928571428572,0.04021624736393503,2018-04-30 10:21:14.694030,15.0
best wireless headphones,Matthew Moniz,https://www.youtube.com/channel/UCVlMUh4WsDQvOxCJJXmWwdw,testEmail,183864,32656.583333333332,0.028097958808713915,2018-04-30 10:21:16.978374,13.0
audio technica review,BTunPlugged,https://www.youtube.com/channel/UCu8NKc_cgwZJRBnsVvqZAVg,testEmail,8173,2118.9166666666665,0.04367490223504286,2018-04-30 10:21:23.724812,25.0
audio technica review,ODi Productions,https://www.youtube.com/channel/UCnaA5TqsiuTki7a-6kW3WAQ,testEmail,96203,201246.35,0.007774326152522826,2018-04-30 10:21:27.797700,22.0
audio technica ATH-E70 review,lachlanlikesathing,https://www.youtube.com/channel/UCG-kL1LRqw6Akq0ktl9da1g,testEmail,61852,6834.5,0.06058099239751153,2018-04-30 10:21:31.400710,13.0
audio technica ATH-E70 review,Performer Magazine,https://www.youtube.com/channel/UCb_ZumX_ECsb4udia8lvA-w,testEmail,207,659.5217391304348,0.0064245860277240075,2018-04-30 10:21:35.684991,24.0
audio technica ATH-E70 review,MultiTracks.com,https://www.youtube.com/channel/UC6u_tKo1s0zc3WexefYpd1A,testEmail,19662,2829.8333333333335,0.014594952135443331,2018-04-30 10:21:42.059679,13.0
audio technica ATH-E70 review,Audio-Technica USA,https://www.youtube.com/channel/UC4Zvo2MGFsv-83wf40pG7Ig,testEmail,24220,8111.458333333333,0.0020341594965968923,2018-04-30 10:21:46.949250,25.0
best headphones for streaming,Tek Syndicate,https://www.youtube.com/channel/UCNovoA9w0KnxyDP5bGrOYzg,testEmail,596332,6149.428571428572,0.06202845614173031,2018-04-30 10:21:50.589828,14.0
best headphones for streaming,The Product Lab,https://www.youtube.com/channel/UCSc9R_Wo-pS2JZXk7Oppliw,testEmail,22460,17064.208333333332,0.014459772196721187,2018-04-30 10:21:55.036357,25.0
best headphones for streaming,BlueStacks Official,https://www.youtube.com/channel/UC9eB0Ysv4UcKgjEy47zcZ5A,testEmail,15273,76.69565217391305,0.021730914588057447,2018-04-30 10:21:59.368307,25.0
best headphones for streaming,StrangerSinTV,https://www.youtube.com/channel/UC4yjlHOYqFoCwRBa2QctvLA,testEmail,3340,3459.2916666666665,0.015045690229465917,2018-04-30 10:22:04.857995,25.0
monolith m1060 review,DMS3 TV,https://www.youtube.com/channel/UC7WtLipHnndkqwSxvL0oyVQ,testEmail,9087,2543.5833333333335,0.08093266364078537,2018-04-30 10:22:08.680435,13.0
monolith m1060 review,metal571,https://www.youtube.com/channel/UCpE4nYnzXQFB5uHOZpKZ6Eg,testEmail,8223,11057.111111111111,0.03730630866008803,2018-04-30 10:22:12.276846,18.0
monolith m1060 review,Deez Canz,https://www.youtube.com/channel/UCw9AYWqR7g09Zq-274CjBwQ,testEmail,422,4252.625,0.028165610129691137,2018-04-30 10:22:13.933152,9.0
headphone amps,Ezvid Wiki,https://www.youtube.com/channel/UCXAHpX2xDhmjqtA-ANgsGmw,testEmail,335850,109.91666666666667,0.019382272472558262,2018-04-30 10:22:18.866905,25.0
headphone amps,Techmoan,https://www.youtube.com/channel/UC5I2hjZYiW9gZPVkvzM8_Cw,testEmail,639010,180023.7857142857,0.04672190906152847,2018-04-30 10:22:21.770272,14.0
best in ear headphones,HiFi Headphones,https://www.youtube.com/channel/UCEW6FtLSt9H9nxEkYjby0eA,testEmail,13256,5366.476190476191,0.020367626180166108,2018-04-30 10:22:26.357263,22.0
best in ear headphones,Top 5 Tech & LifeStyle,https://www.youtube.com/channel/UCvyHccelypbfL7npoKi-6CA,testEmail,0,140573.45454545456,0.006179419439261592,2018-04-30 10:22:30.742661,23.0
best in ear headphones,BPS Customs,https://www.youtube.com/channel/UCcA8woXKjpLrSnpTi6hZgUw,testEmail,22616,3361.909090909091,0.07410562180579215,2018-04-30 10:22:34.259396,23.0
mechanical keyboard review,Toasty Bros,https://www.youtube.com/channel/UCwdEr_DVvYp6Maf-OTw7z_w,testEmail,51860,1225.090909090909,0.08492257841100227,2018-04-30 10:35:01.904859,12.0
mechanical keyboard review,JayzTwoCents,https://www.youtube.com/channel/UCkWQ0gDrqOCarmUKmppD7GQ,testEmail,1454812,202075.91304347827,0.05250811361033929,2018-04-30 10:35:05.821722,25.0
mechanical keyboard review,TastyPCTV,https://www.youtube.com/channel/UC6duTrdZCnxNWIofAbQ0TIw,testEmail,98645,102812.36842105263,0.04390419952545132,2018-04-30 10:35:09.742209,20.0
