discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id,categoryId
fit guys do everyday,Frank Medrano,testEmail,country not detected,https://www.youtube.com/channel/UCP8wqLAt5qYMmOwMB7-mvTQ/about,"667,022.00",2.22%,no notes,0,860977,2018-05-30 16:41:11,2,UCP8wqLAt5qYMmOwMB7-mvTQ,How-to & Style
dude fashion advice,GQ,testEmail,US,https://www.youtube.com/channel/UCsEukrAd64fqA7FjwkmZ_Dw/about,"880,083.04",2.10%,no notes,0,2082785,2018-05-17 15:15:07,25,UCsEukrAd64fqA7FjwkmZ_Dw,Entertainment
mens hair tutoial,SEB!,testEmail,US,https://www.youtube.com/channel/UCckkCSksyrKPaPY3WGSqweA/about,"131,000.17",2.01%,no notes,0,9470,2018-05-31 16:47:26,6,UCckkCSksyrKPaPY3WGSqweA,Entertainment
best short haircut for men,Tips for Clips - Haircutting,testEmail,country not detected,https://www.youtube.com/channel/UClQta0tm3a9jGucq0H3aL_g/about,"40,956.55",1.97%,no notes,0,18481,2018-05-31 16:46:39,23,UClQta0tm3a9jGucq0H3aL_g,How-to & Style
fashion for dudes,BluMaan Community,testEmail,GB,https://www.youtube.com/channel/UCmA2Ob4FLO1WZweUV2DOGhw/about,"29,451.70",1.94%,no notes,0,18943,2018-05-17 15:13:48,25,UCmA2Ob4FLO1WZweUV2DOGhw,How-to & Style
mens hair tutoial,Trevor Kowalski,testEmail,CA,https://www.youtube.com/channel/UCBYP1Vy6KF85DlHzJ2A7daA/about,"9,035.26",1.84%,no notes,0,1560,2018-05-31 16:47:41,24,UCBYP1Vy6KF85DlHzJ2A7daA,People & Blogs
fit guys do everyday,ArianaGrandeVevo,testEmail,country not detected,https://www.youtube.com/channel/UC0VOyT2OCBKdQhF3BAbZ-1g/about,"78,747,900.67",1.75%,no notes,0,19293938,2018-05-30 16:41:05,3,UC0VOyT2OCBKdQhF3BAbZ-1g,Music
best sweater guy,Mr. Crazynotes,testEmail,country not detected,https://www.youtube.com/channel/UCQ2Fy7IwPMG9cz1C184tk1g/about,"756,376.00",1.71%,no notes,0,1878,2018-05-30 16:32:50,4,UCQ2Fy7IwPMG9cz1C184tk1g,People & Blogs
fashion for men,"Glam, Inc.",testEmail,country not detected,https://www.youtube.com/channel/UCrKE6lsllHfJgcUexz3BBhA/about,"234,822.91",1.70%,no notes,0,726541,2018-05-17 15:12:29,12,UCrKE6lsllHfJgcUexz3BBhA,How-to & Style
how to tie a tie,DaveHax,testEmail,GB,https://www.youtube.com/channel/UC0rDDvHM7u_7aWgAojSXl1Q/about,"378,362.29",1.70%,no notes,0,3830630,2018-05-17 15:15:41,25,UC0rDDvHM7u_7aWgAojSXl1Q,How-to & Style
fashion for dudes,Starme92,testEmail,country not detected,https://www.youtube.com/channel/UCGyq_wKqVu3N5uDcPI3gUig/about,"101,085.25",1.63%,no notes,5,378,2018-05-17 15:13:49,4,UCGyq_wKqVu3N5uDcPI3gUig,People & Blogs
fit guys do everyday,TLC,testEmail,country not detected,https://www.youtube.com/channel/UCqf2gzmKtH3PaAbt-qgFFsw/about,"23,890.00",1.50%,no notes,5,2571998,2018-05-30 16:41:35,25,UCqf2gzmKtH3PaAbt-qgFFsw,Entertainment
streewear trends,Highsnobiety,testEmail,country not detected,https://www.youtube.com/channel/UCNe161YMUykW264kFe5PWxA/about,"20,712.70",1.49%,no notes,5,258215,2018-05-30 16:41:58,11,UCNe161YMUykW264kFe5PWxA,How-to & Style
best short haircut for men,Carter Supply Company,testEmail,US,https://www.youtube.com/channel/UCNhTbahoRNRToiIq39hEkPg/about,"18,016.26",1.38%,no notes,fashion,108072,2018-05-31 16:46:16,25,UCNhTbahoRNRToiIq39hEkPg,How-to & Style
tie tutorial,Youtique Bridal,testEmail,country not detected,https://www.youtube.com/channel/UCwP_JT375d-lRE3yErOZpeQ/about,"8,042.75",1.36%,no notes,5,42492,2018-05-17 15:16:04,25,UCwP_JT375d-lRE3yErOZpeQ,How-to & Style
best sweater guy,Saturday Night Live,testEmail,country not detected,https://www.youtube.com/channel/UCqFzWxSCi39LnW1JKFR3efg/about,"1,086,218.75",1.34%,no notes,5,5885418,2018-05-30 16:32:55,8,UCqFzWxSCi39LnW1JKFR3efg,Entertainment
how to dress as a guy,teddybearturnsaround,testEmail,country not detected,https://www.youtube.com/channel/UCEAYu9XLrcgocgED2a-7IrA/about,"75,702.33",1.24%,no notes,5,543,2018-05-17 15:14:51,3,UCEAYu9XLrcgocgED2a-7IrA,How-to & Style
fit guys do everyday,Stronger Than The World,testEmail,country not detected,https://www.youtube.com/channel/UCYlMlavtN2ppRd7a6U_4ymg/about,"46,756.46",1.18%,no notes,5,232714,2018-05-30 16:41:03,25,UCYlMlavtN2ppRd7a6U_4ymg,People & Blogs
mens hair tutoial,BeginnerCutz,testEmail,CA,https://www.youtube.com/channel/UC3lmBFfBEQjPxPwlv252xaA/about,"25,798.29",1.13%,no notes,fashion,34853,2018-05-31 16:47:24,25,UC3lmBFfBEQjPxPwlv252xaA,How-to & Style
mens hair tutoial,Barberology Tube,testEmail,GB,https://www.youtube.com/channel/UCD1eg5HH9h8MYiLmueABa3w/about,"9,004.00",1.06%,no notes,fashion,1405,2018-05-31 16:47:27,13,UCD1eg5HH9h8MYiLmueABa3w,How-to & Style
best sweater guy,ThoseLilRabbits,testEmail,country not detected,https://www.youtube.com/channel/UCVNqBhdq266Abv9IB9_dDFA/about,"46,097.50",1.05%,no notes,5,104705,2018-05-30 16:32:56,2,UCVNqBhdq266Abv9IB9_dDFA,Comedy
streewear trends,Hip Hop TV,testEmail,country not detected,https://www.youtube.com/channel/UCf7SWkc9HeU6jgepLzsMQHw/about,"98,618.57",0.99%,no notes,5,0,2018-05-30 16:43:00,15,UCf7SWkc9HeU6jgepLzsMQHw,People & Blogs
streewear trends,DanceMadeMyDay,testEmail,country not detected,https://www.youtube.com/channel/UC72Swjq7JyW0PudgKFei6Hg/about,"10,971.18",0.97%,no notes,5,849,2018-05-30 16:43:14,18,UC72Swjq7JyW0PudgKFei6Hg,People & Blogs
mens fashion collective fall winter pickups,Ryan Roxx,testEmail,US,https://www.youtube.com/channel/UCtHJVSvOXNZbdFLh9343K_w/about,"9,205.17",0.88%,no notes,fashion,402,2018-05-31 16:49:38,6,UCtHJVSvOXNZbdFLh9343K_w,People & Blogs
how should a suit fit,GUYDE,testEmail,country not detected,https://www.youtube.com/channel/UC-8c-8CC0bbr9rzMBPx1ujw/about,"46,919.33",0.86%,no notes,5,813,2018-05-17 15:15:26,3,UC-8c-8CC0bbr9rzMBPx1ujw,People & Blogs
